,Model,Mean,StdDev
0,LR,0.9178571428571429,0.09285714285714286
1,LR,0.9589285714285716,0.06290683912074478
2,KNN,0.9589285714285716,0.0629068391207448
3,CART,0.9196428571428573,0.06597483286396846
4,NB,0.9464285714285715,0.0658538889806635
5,SVM,0.9607142857142857,0.06018678409411685
